,id,Location,Name,Address,District,RoadInfo,Poi,RoomInfo,label
0,C780-M216,0.9936110806685532,0.9895277524686252,0.9671113857792184,,1.0,,,True
1,C187-M245,6.393167845936292,1.0,0.7154980274863546,,,,,True
2,C884-M88,0.0,0.8535390448185788,0.8298744718747562,0.5586669881127675,0.9819007624557808,,,True
3,C1029-M4,4.6806366689444,1.0,0.5889638558496201,,,,,True
4,C120-M208,2.361591670244349,1.0,0.7906855171802882,0.7307501993649569,,,,True
5,C346-M252,0.6844538119482392,1.0,0.8048841504580035,0.8412045075803392,,,,True
6,C770-M132,3.3110185789350446,1.0,0.8715406588611563,,,0.8279510006432721,,True
7,C1049-M24,0.0,0.5232192724172543,0.9690181902002365,0.5560435642692977,1.0,1.0,,True
8,C922-M157,0.7755547201643147,1.0,0.6699727483820372,,0.3652440339983202,,,True
9,C1059-M13,0.00015127695385637355,1.0,0.7766272943305712,,1.0,1.0,1.0,True
10,C1009-M107,0.0,0.5299613513497652,0.9799330050738546,,1.0,,,True
11,C1070-M45,0.3941048542617905,1.0,0.7651074130769937,0.48964524775900287,1.0,,,True
12,C1053-M15,0.0,1.0,1.0,1.0,1.0,,,True
13,C810-M206,3.171602321270542,1.0,0.7190301586687755,0.7118813105668131,,,,True
14,C562-M148,0.5643686245379388,1.0,0.7703661314659427,1.0,,,,True
15,C904-M91,0.0,0.9512877987204165,1.0,,1.0,1.0,,True
16,C798-M87,0.0,1.0,0.7923641181702769,,,0.6450977030562163,,True
17,C945-M160,0.23048007586194752,0.9984095670916274,0.7831374833035516,,0.6330465875826742,,,True
18,C107-M203,0.0,0.996746633995053,0.9317483346241784,,,0.9284761848387191,,True
19,C809-M186,0.0,1.0,0.9087427972777714,,1.0,,,True
20,C943-M28,0.0,1.0,0.8979786532222316,,1.0,1.0,,True
21,C673-M218,0.023593373449569514,1.0,0.7385249673599668,,,,,True
22,C84-M123,27.137351866091894,1.0,0.6059257382691909,,,0.6600326178422231,,True
23,C1078-M60,0.0,1.0,0.9793316237890553,1.0,1.0,,,True
24,C831-M117,0.0,1.0,0.9537886443843905,,,0.7361262458649039,,True
25,C1001-M191,0.0,1.0,0.9215776282817902,,1.0,,,True
26,C982-M93,0.0,1.0,0.9601101688643807,,,1.0,,True
27,C992-M151,0.3187625943951295,0.9596353722944269,0.900120020955547,,,1.0,0.7496617159003652,True
28,C1069-M38,0.0,0.9693175581711316,0.7224733217182583,0.5560435642692977,0.8455480266783226,,,True
29,C940-M57,0.0,1.0,0.9864823591869691,0.9581218365277882,0.9900120090036224,,,True
30,C944-M77,0.0,1.0,0.8493323656382973,,,0.8791154827887152,,True
31,C492-M231,0.0,1.0,0.8074346458104689,,,0.8712717531658388,,True
32,C1079-M17,0.0,0.904261398750012,1.0,1.0,1.0,,,True
33,C690-M212,0.0,0.9734238986301199,0.965625688027216,0.6348325677766564,0.9803058875336661,,,True
34,C140-M189,0.008826561747897426,1.0,0.7270003027828383,,0.5791160857600479,,,True
35,C131-M102,0.0,1.0,1.0,1.0,,1.0,1.0,True
36,C746-M184,0.7595895142367493,0.4728321409831001,0.9249390082354159,,0.9835348222528308,,,True
37,C993-M46,0.08147961347693329,1.0,0.7908133883804128,1.0,1.0,,,True
38,C1006-M43,0.3931971735917032,0.9558567410157958,0.7121657429222493,,0.40895217884642043,,,True
39,C918-M138,1.2720824855257242,0.9226274134331081,0.9300029698613651,,1.0,,,True
40,C1027-M71,0.7719110102557204,1.0,0.8737372730125025,,,,,True
41,C1037-M89,0.283676316365043,1.0,0.8821579238090418,,,,,True
42,C350-M248,0.9951394928909568,1.0,0.8350060856379256,,0.7191594939059237,,,True
43,C1043-M47,0.0,1.0,1.0,1.0,1.0,,,True
44,C907-M137,0.0,1.0,0.9147564006502339,0.907462508032241,,,,True
45,C908-M56,1.4711905896669986,0.9556760568207324,0.6359171955505091,0.7524366150993416,0.3552868393805877,,,True
46,C870-M202,2.534107897725505,1.0,0.7823366074165877,,,0.8648414671972046,,True
47,C820-M134,0.7175449340856513,1.0,0.7813496384764493,0.5925477873006633,,,,True
48,C959-M129,2.2198737515182496,1.0,0.7895876421659661,,,0.48410349281396425,,True
49,C27-M229,0.0,1.0,0.9279111295481379,0.8952759177107359,1.0,,,True
50,C1055-M19,0.20651774494591274,1.0,0.861285341225019,0.8637961275244723,0.6959923054764613,,,True
51,C937-M51,0.0,1.0,1.0,,,1.0,,True
52,C942-M68,0.09434791214856063,1.0,0.9477602140931708,0.5879801059915818,0.9423315349739029,,,True
53,C779-M127,0.0,1.0,1.0,1.0,,1.0,,True
54,C1074-M22,4.341143342258083,1.0,0.6862469127731808,0.8312733813296314,,0.8165919960719547,,True
55,C813-M65,0.2838334860982677,1.0,0.9389762047391375,0.5560435642692977,0.7154872390213396,1.0,,True
56,C1067-M8,0.0,1.0,0.9618611318168223,1.0,,,,True
57,C1051-M41,0.0,1.0,0.9806612245882608,1.0,0.9519500523150914,,,True
58,C999-M78,0.0,1.0,0.9319219032928805,0.8687362881839702,,,,True
59,C99-M243,4.360787208205639,1.0,0.9208952673413524,,,0.836387958743318,,True
60,C1050-M12,0.0,0.7792084960944494,1.0,,1.0,,,True
61,C1038-M21,0.0,0.7107697223424585,0.9688465563579891,0.5424185571021186,1.0,,,True
62,C135-M180,11.120094398558008,1.0,0.6828491042636063,,,,,True
63,C1073-M29,11.206062873990977,1.0,0.9679498284202002,1.0,,,,True
64,C103-M108,8.0528862798371,1.0,0.8874697366973419,0.5562227409340036,0.8328918057119057,,,True
