,id,Name1,Name2,Distance,label
94,C965-M145,大館（前中区警署建築群）,域多利监狱,76.76745057248974,0
95,C752-M248,怡和街天桥(圆形天桥),岳王古庙,78.07119601260978,0
96,C1066-M194,庙街,九龙中央邮政局,79.50713048246395,0
97,C595-M42,香港龍獅節,香港太空馆,81.4796134769333,0
98,C1057-M46,香港太空馆,香港文化中心,81.4796134769333,0
99,C1076-M46,尖沙咀钟楼,香港文化中心,81.4796134769333,0
100,C601-M208,香港圣公会圣马太堂,泥涌石滩,82.28691762985169,0
101,C846-M188,洪圣古庙,和昌大押,82.49466858981486,0
102,C691-M175,太岁庙,Poho区,83.325374278997,0
103,C29-M125,黄泥涌道新月花园,跑马地,83.97274639532614,0
104,C29-M184,黄泥涌道新月花园,跑马地夜场赛马,83.97274639532614,0
105,C523-M125,礼顿山公众休闲公园,跑马地,83.97274639532614,0
106,C523-M184,礼顿山公众休闲公园,跑马地夜场赛马,83.97274639532614,0
107,C837-M125,天主教坟场,跑马地,83.97274639532614,0
108,C837-M184,天主教坟场,跑马地夜场赛马,83.97274639532614,0
109,C575-M173,海运观点,海港城·美术馆,84.29416214474024,0
110,C646-M173,美国探险乐园,海港城·美术馆,84.29416214474024,0
111,C805-M205,H QUEEN'S,中环摆花街,84.33264012031583,0
112,C822-M175,百姓庙济公圣佛,Poho区,84.40900820498761,0
113,C898-M197,海港城·美术馆,Hello Kitty咖啡馆,85.94020892856176,0
114,C1063-M10,香港艺术馆,星光大道,86.72264829649419,0
115,C466-M83,皇后像广场和平纪念碑,皇后像广场,87.22612069365259,1
116,C634-M83,遮打花园,皇后像广场,87.22612069365259,0
117,C948-M6,九龙清真寺,尖沙咀,87.72082384195963,0
118,C314-M215,超速旋风,海洋公园冰极天地,88.12730104002013,0
119,C316-M215,翻天覆地,海洋公园冰极天地,88.12730104002013,0
120,C692-M215,海洋摩天塔,海洋公园冰极天地,88.12730104002013,0
121,C764-M215,雪狐居,海洋公园冰极天地,88.12730104002013,0
122,C838-M215,登山电梯,海洋公园冰极天地,88.12730104002013,0
123,C394-M178,夏悫花园,力宝中心,88.84263484706112,0
124,C141-M4,金钟,维多利亚港,90.00145759881642,0
125,C949-M28,歌诗达邮轮维多利亚号,天星码头,90.51441479322624,0
126,C471-M212,两依藏博物馆,摩罗上街,91.3412348588916,0
127,C268-M38,香港2009东亚运动会展览廊,太平山顶缆车,91.51546157807273,0
128,C268-M57,香港2009东亚运动会展览廊,中银大厦,91.51546157807273,0
129,C754-M153,湾仔水上活动中心,湾仔蓝屋,91.70583263070938,0
130,C22-M205,白石画廊,中环摆花街,91.76196986762432,0
131,C302-M205,Pearl Lam Galleries,中环摆花街,91.76196986762432,0
132,C551-M205,当代唐人艺术中心,中环摆花街,91.76196986762432,0
133,C311-M205,QRC100,中环摆花街,91.77036156829452,0
134,C894-M42,幻彩咏香江,香港太空馆,91.89541639456519,0
135,C993-M39,香港文化中心,幻彩咏香江灯光秀,91.89541639456519,0
136,C1057-M39,香港太空馆,幻彩咏香江灯光秀,91.89541639456519,0
137,C1076-M39,尖沙咀钟楼,幻彩咏香江灯光秀,91.89541639456519,0
138,C95-M28,Big Bus随上随下巴士九龙游,天星码头,92.0088537644588,0
139,C895-M28,Bigbus大巴士观光游,天星码头,92.0088537644588,0
140,C209-M252,运头角道休憩处,绿汇学苑,92.08540273815036,0
141,C632-M252,旧大埔民政事务处区,绿汇学苑,92.08540273815036,0
142,C712-M32,商务印书馆,香港科学馆,92.3985748092543,0
143,C943-M227,天星码头,梦之旅游船,92.69813422503024,0
144,C1071-M28,天星小轮,天星码头,92.69813422503024,0
145,C149-M153,环保轩,湾仔蓝屋,93.55671654424539,0
146,C842-M153,旧湾仔邮政局,湾仔蓝屋,93.55671654424539,0
147,C595-M39,香港龍獅節,幻彩咏香江灯光秀,93.63016009794207,0
148,C894-M46,幻彩咏香江,香港文化中心,93.63016009794207,0
149,C309-M14,松林炮台,香港大学,94.21311750373273,0
150,C8-M68,山顶缆车历史珍藏馆,圣约翰座堂,94.34791214856062,0
151,C460-M68,梅夫人妇女会主楼,圣约翰座堂,94.34791214856062,0
152,C940-M68,中银大厦,圣约翰座堂,94.34791214856062,0
153,C1069-M68,山顶缆车,圣约翰座堂,94.34791214856062,0
154,C983-M14,香港大学美术博物馆,香港大学,94.90207457946109,0
155,C133-M138,徐氏艺术馆,皇后大道中,95.44241956734093,0
156,C133-M161,徐氏艺术馆,汇丰银行,95.44241956734093,0
157,C993-M56,香港文化中心,香港艺术馆,95.74090028449302,0
158,C1057-M56,香港太空馆,香港艺术馆,95.74090028449302,0
159,C1063-M42,香港艺术馆,香港太空馆,95.74090028449302,0
160,C1076-M56,尖沙咀钟楼,香港艺术馆,95.74090028449302,0
161,C734-M15,湾仔临时海滨花园,金紫荆广场,95.83902035279269,0
162,C734-M43,湾仔临时海滨花园,香港会议展览中心,95.83902035279269,0
163,C501-M60,东华三院文物馆,通菜街,96.21261830896766,0
164,C752-M71,怡和街天桥(圆形天桥),铜锣湾,96.24225025652142,0
165,C480-M83,终审法院,皇后像广场,96.49151936508814,0
166,C158-M89,会督府,香港动植物公园,97.4874303047483,0
167,C844-M223,香港故事馆,湾仔北帝庙,98.33787743145727,0
168,C385-M98,Stanley Pak Tai Temple,赤柱美利楼,99.15086967942878,0
169,C619-M98,赤柱北帝古庙,赤柱美利楼,99.15086967942878,0
170,C688-M63,香港艺术空间,荷李活道,99.37939764351923,0
171,C688-M65,香港艺术空间,砵甸乍街,99.37939764351923,0
172,C688-M160,香港艺术空间,楼梯街,99.37939764351923,0
173,C688-M204,香港艺术空间,荷李活道公园,99.37939764351923,0
174,C595-M40,香港龍獅節,尖沙咀钟楼,99.58520182683218,0
175,C822-M212,百姓庙济公圣佛,摩罗上街,100.1670883719901,0
176,C894-M227,幻彩咏香江,梦之旅游船,100.79666780441848,0
