,id,行政区,Location,Name,Address,District,RoadInfo,Poi,RoomInfo
0,M0-T1,U,,0.2335983660020832,0.8796000830641064,0.8133519372400142,,,
1,M0-T5,U,,0.5017406558839581,0.7959107713249184,,,0.5649521918593072,
2,M0-T8,U,,0.2294738782890815,0.8188750412771547,0.7792817357779106,,,
3,M0-T12,U,,0.3869570215739371,0.7159307879841772,,,,
4,M0-T13,U,15.043289590071144,0.3185683776768016,0.8058280198230423,0.6237651666899163,,0.2560232799031408,
5,M0-T15,U,,0.2557933657782932,0.7851781523952505,0.7608817651141198,,,
6,M0-T16,U,83.09735915457904,0.3953463132512468,0.7642624339758394,0.6209526216135114,,,
7,M0-T18,U,,0.5993018126604993,0.8775646896259605,0.8438417364823723,,,
8,M0-T21,U,,0.376994744038668,0.7860783275248076,,,,
9,M0-T30,U,,0.2097253189758009,0.7726966658968027,,,0.2695924541922704,
10,M0-T31,U,,0.2274050648535002,0.713067180409455,,,,
11,M0-T33,U,,0.2620353472929724,0.6385220248325357,,,0.270782098993045,
12,M0-T36,U,,0.5189743298505128,0.6064859735119966,,,0.0426586400292974,
13,M0-T39,U,71.89351878662875,0.5539976667192307,0.7964277830559965,0.628397634477302,,,
14,M0-T46,U,,0.2353689358855081,0.6529674982580607,,,0.3677688959748197,
15,M0-T55,U,,0.374322556351542,0.87583908613721,0.8227384148605718,,,
16,M0-T62,U,,0.204646775271779,0.8090075412868615,,,,
17,M0-T64,U,,0.2046314280697321,0.7904898481329115,,,0.2524506845306766,
18,M0-T71,U,15.043289590071144,0.3415024409773246,0.7638126616288244,,,,
19,M0-T72,U,15.043289590071144,0.2886473114549395,0.8737861200026137,,,,
20,M0-T75,U,,0.2013577728152098,0.8268578467336035,,,,
21,M0-T78,U,,0.472240422945585,0.5880690326694669,,,0.4487272173268443,
22,M0-T84,U,,0.1966321739494101,0.7276134409809302,0.5611742354273443,,0.2236401836527144,
23,M0-T85,U,,0.1828784197028279,0.7601441355146497,,,,
24,M0-T88,U,,0.0526736962231039,0.8775646896259605,0.8438417364823723,,,
25,M0-T89,U,,0.4865085554102213,0.7115130420462443,0.5252171474260658,,0.3195105905787465,
26,M0-T90,U,,0.5050996997587832,0.8487064232634931,,,0.772795371132525,
27,M0-T92,U,71.89351878662875,0.1212497768399223,0.7775687309434274,,,,
28,M0-T94,U,,0.4397701654622841,0.8433333389805832,,,,
29,M0-T98,U,,0.2695535298314309,0.8775646896259605,0.8438417364823723,,,
30,M0-T99,U,,0.3278561652309928,0.795791071321808,,,,
31,M0-T101,U,15.043289590071144,0.4081028136601118,0.8300952520288973,0.6237651666899163,,0.2125019686304274,
32,M0-T110,U,,0.243675928006061,0.6199723841023869,,,,
33,M0-T111,U,,0.21002056701497,0.6755119135777417,,,0.2779520600814409,
34,M0-T112,U,,0.1570517242065299,0.6755119135777417,,,0.2779520600814409,
35,M0-T113,U,,0.4664833193422651,0.8563227407131221,,,,
36,M0-T115,U,,0.1834384040471591,0.8204036111346918,0.5973162410085322,,,
37,M0-T117,U,66.08817853813234,0.1644322093264298,0.8369655369963833,,,0.33214033700299,
38,M0-T119,U,15.043289590071144,0.1751022284989192,0.8737861200026137,,,,
39,M0-T126,U,,0.3379430118709322,0.8160477025515923,,,0.3499691168190144,
40,M0-T127,U,,0.280114549443906,0.7287303735186651,0.5012886198580636,,,
41,M0-T129,U,,0.3312530019679279,0.7965358741057503,,,0.2053048394615287,
42,M0-T132,U,,0.1971000824206099,0.8578781945561983,,,0.4425500872666625,
43,M0-T137,U,,0.3918554974945862,0.7994472346687987,,,0.4400731212862447,
44,M0-T142,U,,0.4086411167118478,0.852704653782426,0.7746094856172969,,,
45,M0-T147,U,,0.5396229420514383,0.6033368452475151,0.3219795556257747,,,
46,M1-T1,U,,0.1451834773500565,0.8631555568094108,0.6334473447422179,0.694533252104827,,
47,M1-T5,U,,0.4100219358025215,0.827668902770768,,0.7468385964451741,,
48,M1-T8,U,,0.2419716357555489,0.8039126632884216,0.5486008076500061,,,
49,M1-T12,U,,0.1698178885203923,0.8008264701148551,,0.6406813785762808,,
50,M1-T13,U,4.007067537769904,0.3249002130182536,0.7926037891888044,0.7264206326776632,,,
51,M1-T15,U,,0.2165879914985645,0.7904426587197696,0.7903470055062587,,,
52,M1-T16,U,100.7059532007342,0.5695181935106005,0.806158207623519,0.561420472105302,0.5343972537727422,,
53,M1-T18,U,,0.4812039466744602,0.8673721887791161,0.6723590617427969,,,
54,M1-T21,U,,0.3498364793857622,0.8446769304683445,,0.6852010866188266,,
55,M1-T30,U,,0.3290199253316507,0.7525775344152434,,,,
56,M1-T31,U,,0.195896504462495,0.7413194664119281,,0.7132834199210231,,
57,M1-T33,U,,0.2278428430620417,0.6804086665376406,,,,
58,M1-T34,南区,7.616698370117525,0.2450484391360748,0.8804836723745646,0.5948278526492486,0.6410820668384576,,
59,M1-T36,U,,0.3362882025063687,0.7165553194522332,,0.6925263161589286,,
60,M1-T39,U,89.69106276131545,0.4221799236948667,0.79270247423994,0.6428469507756003,,,
61,M1-T45,南区,6.31443630075807,0.3609188003620598,0.7660279550314469,,,,
62,M1-T46,U,,0.388045848810653,0.6480173344320718,,,,
63,M1-T54,南区,7.616698370117525,0.3302469539365333,0.8804836723745646,0.5948278526492486,0.6410820668384576,,
64,M1-T55,U,,0.2832677988127454,0.8452676656502789,0.5872291666727123,,,
65,M1-T62,U,,0.131367611612458,0.8639877469570114,,0.7216784904577265,,
66,M1-T64,U,,0.3285671454309098,0.7725665655739116,,,,
67,M1-T71,U,4.007067537769904,0.5198520626994034,0.7408563472658269,,,,
68,M1-T72,U,4.007067537769904,0.4798344661048481,0.8549213115131588,,,,
69,M1-T75,U,,0.2249269966186921,0.8477714597376618,,0.5439123847515122,,
70,M1-T78,U,,0.2917604856087068,0.5631128094303056,,,,
71,M1-T84,U,,0.2235963917233159,0.7403853275429103,0.5372200587437896,,,
72,M1-T85,U,,0.1213150195766594,0.7758484917883686,,0.4587043690196346,,
73,M1-T88,U,,0.0809849730016064,0.8673721887791161,0.6723590617427969,,,
74,M1-T89,U,,0.4209415299113956,0.7098634506488862,0.4688012000792894,,,
75,M1-T90,U,,0.6320258626388079,0.8337406599630864,,,,
76,M1-T92,U,89.69106276131545,0.1197000506701149,0.8288502267537071,,0.647192935477183,,
